Teff,logg,FeH,Mbol,BC_U,BC_B,BC_V,BC_R,BC_I,BC_J,BC_H,BC_Ks,BC_u,BC_g,BC_r,BC_i,BC_z,BC_G,BC_BP,BC_RP
4014.99, 1.50, 0.0, 6.320,-3.75310,-2.26910,-0.90560,-0.14050, 0.53170, 1.58810, 2.32330, 2.53140,-4.67960,-1.63880,-0.43510, 0.02130, 0.31350,-0.42180,-1.17700, 0.44010
4042.38, 1.50,-1.0, 6.291,-3.11690,-2.12650,-0.86970,-0.13680, 0.52720, 1.55730, 2.32870, 2.50310,-4.01150,-1.54990,-0.42970, 0.02220, 0.30510,-0.40820,-1.13330, 0.43660
4021.90, 1.50,-2.0, 6.313,-3.24590,-2.23800,-0.90050,-0.14700, 0.53780, 1.56940, 2.32730, 2.50270,-4.17080,-1.62720,-0.44840, 0.02840, 0.32220,-0.42050,-1.17860, 0.44480
3951.92, 1.50,-3.0, 6.389,-3.90090,-2.60760,-1.04190,-0.19200, 0.56190, 1.61550, 2.33340, 2.52470,-4.86820,-1.90680,-0.52040, 0.03670, 0.36450,-0.46890,-1.33700, 0.46060
4070.69, 2.00, 0.0, 6.260,-3.47470,-2.14830,-0.85400,-0.10740, 0.54590, 1.57170, 2.29980, 2.49240,-4.39490,-1.55290,-0.39570, 0.04140, 0.31920,-0.38850,-1.11670, 0.45590
4056.19, 2.00, 0.5, 6.276,-3.85400,-2.25760,-0.92060,-0.14870, 0.56010, 1.60690, 2.29380, 2.50930,-4.79910,-1.63670,-0.45150, 0.03890, 0.34310,-0.41620,-1.18640, 0.45950
3899.43, 2.00,-0.5, 6.447,-3.49590,-2.36970,-1.05820,-0.25620, 0.49620, 1.59210, 2.40180, 2.59540,-4.40270,-1.78920,-0.57300,-0.03710, 0.29980,-0.51130,-1.31650, 0.39120
4047.76, 2.00,-1.0, 6.285,-2.91330,-2.07200,-0.87100,-0.14040, 0.52420, 1.55180, 2.32650, 2.49650,-3.79910,-1.52820,-0.43160, 0.01740, 0.30250,-0.40790,-1.12290, 0.43260
4037.03, 2.00,-2.0, 6.296,-2.95540,-2.11670,-0.86700,-0.13370, 0.53570, 1.55820, 2.31110, 2.48410,-3.86190,-1.54730,-0.42860, 0.02910, 0.31640,-0.40330,-1.13120, 0.44430
4013.24, 2.00,-3.0, 6.322,-3.35520,-2.30150,-0.90580,-0.12690, 0.58160, 1.58900, 2.27120, 2.46040,-4.30180,-1.66740,-0.43730, 0.06690, 0.36920,-0.40050,-1.19080, 0.48470
4025.21, 2.00,-4.0, 6.309,-3.55980,-2.40540,-0.92680,-0.10890, 0.63070, 1.60940, 2.21870, 2.41580,-4.52770,-1.73930,-0.43200, 0.10980, 0.42170,-0.38300,-1.21920, 0.52890
3958.11, 2.50, 0.0, 6.382,-3.56660,-2.32010,-1.02810,-0.23570, 0.51510, 1.59780, 2.37820, 2.57360,-4.48420,-1.74370,-0.54840,-0.01940, 0.31200,-0.48920,-1.28330, 0.40730
3953.50, 2.50, 0.5, 6.387,-3.80950,-2.40470,-1.11480,-0.30470, 0.52780, 1.63440, 2.37350, 2.58690,-4.74740,-1.81650,-0.64260,-0.02810, 0.33840,-0.52750,-1.37160, 0.40560
3899.65, 2.50,-0.5, 6.447,-3.38240,-2.35470,-1.08720,-0.28100, 0.50300, 1.60010, 2.40430, 2.59230,-4.28350,-1.80050,-0.60420,-0.04080, 0.31030,-0.52270,-1.33810, 0.39050
4063.17, 2.50,-1.0, 6.268,-2.78900,-2.03250,-0.86810,-0.13650, 0.53330, 1.55190, 2.31450, 2.48120,-3.66800,-1.51230,-0.42730, 0.02380, 0.31040,-0.40060,-1.11150, 0.43930
4037.59, 2.50,-2.0, 6.296,-2.77250,-2.05380,-0.85520,-0.12540, 0.53900, 1.55450, 2.29540, 2.46930,-3.66430,-1.51240,-0.41780, 0.03300, 0.31850,-0.39290,-1.10840, 0.44790
4042.85, 2.50,-3.0, 6.290,-2.93700,-2.11110,-0.83090,-0.09010, 0.59520, 1.57280, 2.21440, 2.40930,-3.85780,-1.52630,-0.39140, 0.08580, 0.37500,-0.35830,-1.10360, 0.50040
3951.87, 2.50,-4.0, 6.389,-3.26910,-2.30040,-0.89860,-0.09830, 0.63760, 1.61510, 2.16480, 2.38120,-4.21420,-1.66940,-0.41890, 0.11610, 0.43080,-0.36630,-1.18290, 0.53650
4472.00, 1.50,-1.0, 5.852,-2.21550,-1.56460,-0.51380, 0.07860, 0.62940, 1.46770, 2.05830, 2.20120,-3.09040,-1.04910,-0.17990, 0.15820, 0.35350,-0.18650,-0.76800, 0.55020
4384.64, 1.50,-3.0, 5.938,-2.61300,-1.81900,-0.61560, 0.05090, 0.66850, 1.51840, 2.07870, 2.23480,-3.54550,-1.25530,-0.22970, 0.18080, 0.41100,-0.22330,-0.89270, 0.57920
4554.69, 2.00, 0.0, 5.772,-2.44380,-1.54790,-0.46730, 0.13820, 0.65260, 1.46810, 2.00720, 2.16230,-3.33110,-1.01620,-0.11140, 0.18970, 0.36460,-0.14540,-0.71970, 0.57920
4461.67, 2.00,-0.5, 5.862,-2.29270,-1.57500,-0.52280, 0.08150, 0.62970, 1.47180, 2.06290, 2.20930,-3.16770,-1.06080,-0.17630, 0.15810, 0.35420,-0.18760,-0.77230, 0.55100
4498.97, 2.00,-1.0, 5.826,-2.02690,-1.49220,-0.50110, 0.07720, 0.61920, 1.45210, 2.04650, 2.18410,-2.89380,-1.00370,-0.17790, 0.14940, 0.34140,-0.18180,-0.74320, 0.54090
4452.94, 2.00,-2.0, 5.871,-2.06200,-1.55860,-0.53160, 0.06150, 0.62690, 1.46640, 2.05450, 2.19950,-2.94780,-1.06070,-0.20060, 0.15090, 0.35670,-0.19770,-0.78270, 0.54490
4455.77, 2.00,-3.0, 5.868,-2.19880,-1.62250,-0.54530, 0.07300, 0.65900, 1.48290, 2.03060, 2.18220,-3.10880,-1.11000,-0.19620, 0.17840, 0.39140,-0.19120,-0.80530, 0.57330
4485.37, 2.00,-4.0, 5.839,-2.18230,-1.61150,-0.53590, 0.08540, 0.67470, 1.48090, 2.00600, 2.15740,-3.10140,-1.10450,-0.18510, 0.19360, 0.40570,-0.17930,-0.79680, 0.58790
4533.90, 2.50, 0.0, 5.792,-2.42220,-1.54340,-0.48380, 0.12230, 0.64140, 1.46840, 2.02900, 2.17920,-3.31120,-1.02400,-0.12760, 0.17660, 0.35660,-0.15770,-0.73070, 0.56730
4470.97, 2.50, 0.5, 5.853,-2.96950,-1.69780,-0.54020, 0.11300, 0.65080, 1.50870, 2.05830, 2.22920,-3.89340,-1.13610,-0.14310, 0.18090, 0.37280,-0.17980,-0.79450, 0.57530
4503.34, 2.50,-0.5, 5.822,-2.14420,-1.51100,-0.50420, 0.08910, 0.62890, 1.45710, 2.04320, 2.18270,-3.01490,-1.01820,-0.16560, 0.15940, 0.34990,-0.17610,-0.74480, 0.55090
4508.09, 2.50,-1.0, 5.817,-1.92660,-1.46250,-0.50400, 0.07270, 0.61160, 1.44500, 2.04480, 2.17960,-2.78780,-0.99160,-0.18090, 0.14210, 0.33360,-0.18380,-0.73710, 0.53370
4426.04, 2.50,-2.0, 5.897,-1.96700,-1.54550,-0.54940, 0.04450, 0.60950, 1.46430, 2.06960, 2.21620,-2.84060,-1.06370,-0.21680, 0.13270, 0.34180,-0.21180,-0.79080, 0.52790
4477.40, 2.50,-3.0, 5.847,-1.95290,-1.53210,-0.52230, 0.07420, 0.64670, 1.46370, 2.00770, 2.16010,-2.84360,-1.04790,-0.19010, 0.16890, 0.37590,-0.18320,-0.77040, 0.56270
4535.29, 2.50,-4.0, 5.791,-1.84490,-1.47630,-0.49410, 0.09330, 0.66230, 1.45020, 1.96320, 2.11390,-2.74040,-1.00810,-0.16990, 0.18550, 0.38710,-0.16180,-0.73980, 0.57780
4508.67, 3.00, 0.0, 5.817,-2.43240,-1.55940,-0.50960, 0.10690, 0.63360, 1.47190, 2.05230, 2.19880,-3.32140,-1.05050,-0.14450, 0.16670, 0.35230,-0.17220,-0.75060, 0.55840
4490.40, 3.00, 0.5, 5.834,-2.82400,-1.65450,-0.53470, 0.11420, 0.64960, 1.49830, 2.05480, 2.21750,-3.74320,-1.11560,-0.14020, 0.18030, 0.37020,-0.17570,-0.78140, 0.57380
4503.05, 3.00,-1.0, 5.822,-1.89600,-1.46140,-0.51820, 0.06670, 0.60620, 1.44450, 2.05290, 2.18560,-2.75320,-1.00280,-0.18660, 0.13630, 0.32910,-0.19030,-0.74390, 0.52820
4559.76, 3.00,-2.0, 5.768,-1.66470,-1.38800,-0.47670, 0.08100, 0.61510, 1.42270, 1.98970, 2.12750,-2.52520,-0.93990,-0.17070, 0.14680, 0.33350,-0.16840,-0.70350, 0.53670
4555.30, 3.00,-3.0, 5.772,-1.67820,-1.41150,-0.47620, 0.09230, 0.64410, 1.43190, 1.94970, 2.10060,-2.55210,-0.95830,-0.16520, 0.17160, 0.36490,-0.15810,-0.71090, 0.56230
4534.50, 3.00,-4.0, 5.792,-1.69370,-1.43200,-0.48720, 0.09140, 0.65760, 1.43870, 1.93500, 2.09420,-2.57560,-0.98030,-0.17060, 0.18120, 0.38190,-0.15880,-0.72490, 0.57340
4548.87, 3.50, 0.0, 5.778,-2.35730,-1.52710,-0.49890, 0.11790, 0.64060, 1.46320, 2.03430, 2.17580,-3.24060,-1.03220,-0.13180, 0.17550, 0.35520,-0.16090,-0.73350, 0.56530
4531.27, 3.50, 0.5, 5.795,-2.71390,-1.61440,-0.52540, 0.12180, 0.65650, 1.48990, 2.04020, 2.19570,-3.62570,-1.09490,-0.13100, 0.18760, 0.37340,-0.16580,-0.76460, 0.57940
4344.11, 3.50,-0.5, 5.978,-2.42410,-1.70320,-0.64420, 0.02020, 0.60920, 1.50070, 2.14480, 2.29230,-3.29750,-1.21390,-0.24690, 0.12480, 0.34900,-0.25070,-0.87740, 0.52410
4573.06, 3.50,-1.0, 5.755,-1.78470,-1.39920,-0.48670, 0.08940, 0.61390, 1.42690, 2.01210, 2.14120,-2.63660,-0.95540,-0.15930, 0.14840, 0.32930,-0.16750,-0.70500, 0.53750
4508.84, 3.50,-2.0, 5.816,-1.72960,-1.43710,-0.50780, 0.07100, 0.61480, 1.43680, 2.00740, 2.15330,-2.58590,-0.98660,-0.18370, 0.14390, 0.33770,-0.18240,-0.73290, 0.53540
4571.34, 3.50,-3.0, 5.757,-1.59330,-1.38170,-0.46480, 0.10020, 0.64940, 1.42240, 1.91350, 2.07260,-2.45980,-0.93710,-0.15650, 0.17770, 0.36800,-0.14850,-0.69500, 0.56760
4620.85, 3.50,-4.0, 5.710,-1.46630,-1.32610,-0.44540, 0.10780, 0.65470, 1.40480, 1.87300, 2.03130,-2.33620,-0.90080,-0.14800, 0.18350, 0.37040,-0.13610,-0.67120, 0.57240
4524.22, 4.00, 0.0, 5.802,-2.43030,-1.57480,-0.53140, 0.10760, 0.64220, 1.47270, 2.05380, 2.19560,-3.31140,-1.08310,-0.14460, 0.17420, 0.35930,-0.17440,-0.76270, 0.56480
4549.22, 4.00, 0.5, 5.778,-2.65660,-1.61150,-0.53480, 0.11940, 0.66340, 1.48930, 2.03670, 2.18880,-3.56000,-1.10480,-0.13440, 0.19200, 0.37930,-0.16630,-0.76890, 0.58340
4441.77, 4.00,-0.5, 5.881,-2.28050,-1.60600,-0.58340, 0.06360, 0.62690, 1.47940, 2.08810, 2.22950,-3.14810,-1.13150,-0.19600, 0.15070, 0.35490,-0.20920,-0.81060, 0.54490
4587.16, 4.00,-1.0, 5.742,-1.79580,-1.40010,-0.48760, 0.09840, 0.62010, 1.42670, 2.00310, 2.13310,-2.64530,-0.96180,-0.14950, 0.15580, 0.33330,-0.16230,-0.70200, 0.54390
4524.97, 4.00,-2.0, 5.801,-1.72580,-1.42910,-0.50050, 0.08470, 0.62750, 1.43500, 1.98070, 2.13130,-2.57980,-0.98180,-0.16980, 0.15730, 0.34810,-0.17090,-0.72310, 0.54790
4517.64, 4.00,-3.0, 5.808,-1.66100,-1.42450,-0.48450, 0.09720, 0.65910, 1.43670, 1.90820, 2.08050,-2.52650,-0.97230,-0.16350, 0.18420, 0.38210,-0.15380,-0.71680, 0.57570
4580.60, 4.00,-4.0, 5.748,-1.49510,-1.35310,-0.45580, 0.10980, 0.66660, 1.41430, 1.85260, 2.02610,-2.36350,-0.92270,-0.14940, 0.19310, 0.38520,-0.13590,-0.68330, 0.58300
4532.22, 4.50, 0.0, 5.794,-2.46210,-1.59380,-0.54300, 0.11020, 0.65210, 1.47610, 2.04950, 2.19140,-3.33990,-1.10600,-0.14280, 0.18240, 0.36800,-0.17400,-0.77120, 0.57240
4543.15, 4.50, 0.5, 5.783,-2.65550,-1.64110,-0.55840, 0.11090, 0.67100, 1.49540, 2.04080, 2.19370,-3.55180,-1.14040,-0.14560, 0.19540, 0.38810,-0.17420,-0.78970, 0.58690
4383.32, 4.50,-0.5, 5.939,-2.44210,-1.70270,-0.63540, 0.04670, 0.63370, 1.49980, 2.11150, 2.25940,-3.31230,-1.22150,-0.21880, 0.15100, 0.36780,-0.23090,-0.86400, 0.54770
4569.29, 4.50,-1.0, 5.759,-1.88740,-1.44200,-0.50720, 0.10140, 0.63080, 1.43760, 2.00870, 2.14160,-2.73700,-1.00230,-0.14850, 0.16470, 0.34510,-0.16530,-0.72080, 0.55310
4502.45, 4.50,-2.0, 5.823,-1.80750,-1.46400,-0.51140, 0.09260, 0.64530, 1.44530, 1.96500, 2.12500,-2.66330,-1.01120,-0.16520, 0.17310, 0.36750,-0.16720,-0.73560, 0.56420
4526.03, 5.00, 0.0, 5.800,-2.53060,-1.63450,-0.56170, 0.11040, 0.66540, 1.48360, 2.04650, 2.19060,-3.40670,-1.14470,-0.14510, 0.19250, 0.38170,-0.17640,-0.78950, 0.58260
4447.10, 5.00,-0.5, 5.876,-2.38690,-1.65720,-0.59700, 0.08140, 0.65580, 1.48830, 2.06250, 2.21000,-3.25500,-1.17990,-0.18080, 0.17770, 0.38180,-0.19960,-0.82390, 0.57090
4535.47, 5.00,-1.0, 5.791,-2.02130,-1.50860,-0.53300, 0.10480, 0.65280, 1.45520, 2.00600, 2.14670,-2.87420,-1.06100,-0.14990, 0.18190, 0.36990,-0.16790,-0.74980, 0.57140
4881.31, 2.00, 0.0, 5.472,-1.85600,-1.25750,-0.31260, 0.22580, 0.68500, 1.37760, 1.81390, 1.95050,-2.72730,-0.78050,-0.00840, 0.23980, 0.36540,-0.04640,-0.54830, 0.61700
4915.99, 2.00,-1.0, 5.441,-1.44220,-1.13310,-0.30090, 0.18660, 0.65110, 1.33750, 1.79320, 1.91320,-2.30660,-0.70420,-0.04620, 0.20420, 0.33450,-0.05710,-0.52190, 0.58110
4926.40, 2.00,-2.0, 5.432,-1.34090,-1.10990,-0.30720, 0.17860, 0.65220, 1.33030, 1.77580, 1.89650,-2.22010,-0.70160,-0.05610, 0.20220, 0.33790,-0.06010,-0.52350, 0.57980
4907.94, 2.00,-3.0, 5.448,-1.33290,-1.11580,-0.31880, 0.17220, 0.65590, 1.33580, 1.77730, 1.90090,-2.22150,-0.71570,-0.06510, 0.20260, 0.34500,-0.06540,-0.53470, 0.58150
4905.26, 2.00,-4.0, 5.450,-1.31800,-1.11680,-0.32140, 0.17000, 0.65720, 1.33590, 1.77420, 1.89900,-2.20890,-0.71960,-0.06810, 0.20270, 0.34730,-0.06690,-0.53770, 0.58210
5015.94, 2.50, 0.0, 5.353,-1.62160,-1.12750,-0.26400, 0.24070, 0.67640, 1.33360, 1.75120, 1.87470,-2.48800,-0.68310, 0.01380, 0.23750, 0.34640,-0.02060,-0.48580, 0.61100
4950.97, 2.50,-0.5, 5.410,-1.46410,-1.12260,-0.28930, 0.20120, 0.65640, 1.33150, 1.77560, 1.89620,-2.32290,-0.69250,-0.02930, 0.21170, 0.33560,-0.04630,-0.50820, 0.58770
4965.89, 2.50,-1.0, 5.397,-1.30120,-1.07870,-0.29020, 0.18260, 0.63700, 1.31510, 1.77130, 1.88540,-2.15760,-0.66800,-0.04680, 0.19220, 0.31700,-0.05470,-0.50120, 0.56810
4939.03, 2.50,-2.0, 5.421,-1.22650,-1.08470,-0.30980, 0.16770, 0.63670, 1.31660, 1.76870, 1.88800,-2.09240,-0.68770,-0.06530, 0.18740, 0.32160,-0.06650,-0.51850, 0.56490
4948.74, 2.50,-3.0, 5.412,-1.18400,-1.07210,-0.31190, 0.16680, 0.64250, 1.31290, 1.74910, 1.87140,-2.05810,-0.68720,-0.06770, 0.19100, 0.32840,-0.06530,-0.51850, 0.56890
4953.38, 2.50,-4.0, 5.408,-1.15390,-1.06350,-0.31300, 0.16320, 0.64060, 1.30950, 1.74280, 1.86550,-2.03030,-0.68490,-0.07170, 0.18830, 0.32720,-0.06690,-0.51840, 0.56660
5010.39, 3.00, 0.0, 5.358,-1.60350,-1.12280,-0.26930, 0.23460, 0.67050, 1.33290, 1.75990, 1.88080,-2.46850,-0.68320, 0.00800, 0.23110, 0.34180,-0.02510,-0.48820, 0.60510
4963.15, 3.00, 0.5, 5.399,-2.01830,-1.22030,-0.28690, 0.25740, 0.69550, 1.37290, 1.78610, 1.92160,-2.90900,-0.74410, 0.02810, 0.25630, 0.36760,-0.02140,-0.51540, 0.63150
4912.91, 3.00,-0.5, 5.444,-1.48350,-1.14370,-0.31040, 0.18750, 0.64870, 1.34060, 1.80810, 1.92460,-2.33910,-0.71470,-0.04420, 0.20190, 0.33170,-0.06000,-0.52690, 0.57930
4990.00, 3.00,-1.0, 5.376,-1.23520,-1.05870,-0.28900, 0.18010, 0.63000, 1.30440, 1.76130, 1.87240,-2.08530,-0.65640,-0.04790, 0.18620, 0.30840,-0.05510,-0.49430, 0.56170
4991.62, 3.00,-2.0, 5.375,-1.10840,-1.04440,-0.29980, 0.16590, 0.62510, 1.29330, 1.73740, 1.85460,-1.96400,-0.65950,-0.06400, 0.17830, 0.30590,-0.06390,-0.50080, 0.55440
4970.32, 3.00,-3.0, 5.393,-1.08960,-1.05480,-0.31250, 0.16100, 0.63320, 1.29860, 1.72860, 1.85230,-1.95230,-0.67740,-0.07250, 0.18260, 0.31770,-0.06820,-0.51360, 0.56000
5005.01, 3.00,-4.0, 5.363,-1.02090,-1.02550,-0.30670, 0.15890, 0.62840, 1.28370, 1.70360, 1.82670,-1.88520,-0.66040,-0.07370, 0.17810, 0.31130,-0.06660,-0.50360, 0.55520
5011.53, 3.50, 0.0, 5.357,-1.60830,-1.11830,-0.27140, 0.23210, 0.66630, 1.33220, 1.76670, 1.88440,-2.47170,-0.68150, 0.00630, 0.22730, 0.33790,-0.02680,-0.48760, 0.60130
4988.91, 3.50, 0.5, 5.377,-1.94540,-1.19200,-0.28030, 0.25750, 0.69200, 1.36290, 1.77640, 1.90760,-2.83360,-0.72660, 0.02990, 0.25360, 0.36300,-0.01820,-0.50420, 0.62830
4917.82, 3.50,-0.5, 5.439,-1.47540,-1.13940,-0.31360, 0.18630, 0.64600, 1.33880, 1.81020, 1.92450,-2.32810,-0.71460,-0.04500, 0.19960, 0.32890,-0.06120,-0.52660, 0.57690
4975.93, 3.50,-1.0, 5.388,-1.23620,-1.06800,-0.29970, 0.17470, 0.62560, 1.30730, 1.77390, 1.88400,-2.08140,-0.66750,-0.05340, 0.18150, 0.30520,-0.06130,-0.50220, 0.55730
5036.62, 3.50,-2.0, 5.336,-1.03470,-1.01790,-0.29250, 0.16610, 0.61710, 1.27520, 1.71280, 1.82790,-1.88270,-0.64050,-0.06150, 0.17250, 0.29440,-0.06140,-0.48780, 0.54740
5047.83, 3.50,-3.0, 5.326,-0.96660,-1.00740,-0.29740, 0.16210, 0.62210, 1.26750, 1.68170, 1.80270,-1.82030,-0.64280,-0.06790, 0.17490, 0.30090,-0.06260,-0.49050, 0.55030
5047.65, 3.50,-4.0, 5.326,-0.92830,-1.00340,-0.30440, 0.15450, 0.61880, 1.26280, 1.67270, 1.79580,-1.78380,-0.64680,-0.07650, 0.17000, 0.29900,-0.06810,-0.49560, 0.54600
4992.30, 4.00, 0.0, 5.374,-1.65750,-1.13970,-0.28430, 0.22940, 0.66690, 1.33920, 1.78180, 1.89940,-2.51940,-0.70140, 0.00290, 0.22730, 0.34010,-0.03200,-0.49910, 0.60170
5083.68, 4.00, 0.5, 5.295,-1.81620,-1.12350,-0.24970, 0.27320, 0.69200, 1.33530, 1.73100, 1.85530,-2.69810,-0.67430, 0.05010, 0.25840, 0.35530, 0.00120,-0.46590, 0.63020
4910.47, 4.00,-0.5, 5.446,-1.50710,-1.15360,-0.32320, 0.18670, 0.64700, 1.34290, 1.81920, 1.93320,-2.35760,-0.72940,-0.04480, 0.20080, 0.33020,-0.06370,-0.53380, 0.57810
4956.78, 4.00,-1.0, 5.405,-1.26990,-1.08980,-0.31280, 0.17380, 0.62680, 1.31480, 1.78840, 1.89940,-2.11150,-0.68840,-0.05490, 0.18240, 0.30750,-0.06600,-0.51360, 0.55850
